total_t,total_$
578,29277754
615,29277952
586,29278136
586,29278738
575,29278864
610,29278966
611,29279218
590,29279392
557,29280193
574,29280279
586,29280658
607,29281096
606,29281490
603,29282986
582,29283183
573,29284212
599,29284252
578,29284449
604,29284763
569,29285478
587,29285793
600,29286029
605,29286444
619,29287005
583,29287059
597,29287078
587,29287187
612,29287667
601,29287710
565,29287978
622,29288159
615,29288271
601,29288334
595,29288698
608,29288933
571,29289559
597,29289600
611,29290771
585,29291141
624,29292240
617,29292352
581,29292407
595,29292425
620,29293506
613,29293618
599,29293681
593,29294045
595,29294947
608,29295047
579,29295232
589,29295311
609,29296118
630,29296129
640,29296259
604,29296313
583,29296488
591,29297472
636,29297525
615,29297700
587,29298136
587,29298738
576,29298864
612,29299218
591,29299392
558,29300193
608,29301096
571,29301545
603,29302756
604,29302986
617,29303222
574,29304212
600,29304252
579,29304449
570,29305478
588,29305793
601,29306029
606,29306444
620,29307005
598,29307078
588,29307187
613,29307667
602,29307710
566,29307978
623,29308159
616,29308271
602,29308334
584,29308453
596,29308698
572,29309559
598,29309600
592,29309964
612,29310771
586,29311141
625,29312240
618,29312352
582,29312407
596,29312425
621,29313506
614,29313618
600,29313681
592,29313691
594,29314045
596,29314947
609,29315047
590,29315311
610,29316118
631,29316129
641,29316259
605,29316313
592,29317472
637,29317525
616,29317700
580,29317754
620,29317874
617,29317952
588,29318136
588,29318738
577,29318864
613,29319218
592,29319392
559,29320193
609,29321096
598,29321361
608,29321466
572,29321545
622,29321956
604,29322756
605,29322986
575,29324212
601,29324252
580,29324449
571,29325478
589,29325793
551,29325904
602,29326029
607,29326444
621,29327005
599,29327078
589,29327187
603,29327710
567,29327978
624,29328159
617,29328271
603,29328334
585,29328453
597,29328698
573,29329559
599,29329600
593,29329964
613,29330771
587,29331141
626,29332240
619,29332352
583,29332407
597,29332425
622,29333506
615,29333618
601,29333681
593,29333691
595,29334045
597,29334947
610,29335047
591,29335311
611,29336118
642,29336259
606,29336313
585,29336488
593,29337472
638,29337525
617,29337700
621,29337874
618,29337952
589,29338136
589,29338738
578,29338864
614,29339218
593,29339392
560,29340193
589,29340658
610,29341096
599,29341361
609,29341466
605,29342756
606,29342986
585,29343183
587,29344085
576,29344212
602,29344252
581,29344449
572,29345478
590,29345793
603,29346029
608,29346444
622,29347005
586,29347059
600,29347078
615,29347667
604,29347710
568,29347978
618,29348271
604,29348334
586,29348453
598,29348698
600,29349600
594,29349964
614,29350771
588,29351141
641,29352177
627,29352240
620,29352352
584,29352407
598,29352425
623,29353506
616,29353618
602,29353681
594,29353691
596,29354045
611,29355047
592,29355311
612,29356118
633,29356129
607,29356313
586,29356488
594,29357472
639,29357525
618,29357700
619,29357952
590,29358136
590,29358738
579,29358864
594,29359392
561,29360193
601,29360405
611,29361096
600,29361361
557,29361459
606,29362756
607,29362986
577,29364212
603,29364252
582,29364449
574,29364756
573,29365478
591,29365793
609,29366444
630,29366893
623,29367005
587,29367059
601,29367078
605,29367710
569,29367978
626,29368159
619,29368271
605,29368334
587,29368453
599,29368698
612,29368933
575,29369559
601,29369600
595,29369964
615,29370771
610,29370966
589,29371141
628,29372240
621,29372352
585,29372407
599,29372425
593,29372789
624,29373506
617,29373618
603,29373681
595,29373691
597,29374045
599,29374947
612,29375047
593,29375311
613,29376118
634,29376129
644,29376259
608,29376313
587,29376488
627,29376608
595,29377472
640,29377525
619,29377700
620,29377952
591,29378136
591,29378738
580,29378864
615,29378966
585,29379102
616,29379218
595,29379392
587,29379402
562,29380193
591,29380658
612,29381096
558,29381459
607,29382756
608,29382986
587,29383183
621,29383222
578,29384212
604,29384252
583,29384449
609,29384763
574,29385478
592,29385793
554,29385904
605,29386029
610,29386444
624,29387005
588,29387059
606,29387710
570,29387978
627,29388159
620,29388271
606,29388334
600,29388698
576,29389559
602,29389600
596,29389964
616,29390771
590,29391141
629,29392240
622,29392352
586,29392407
600,29392425
625,29393506
618,29393618
604,29393681
596,29393691
598,29394045
580,29394164
639,29394863
600,29394947
584,29395232
594,29395311
614,29396118
635,29396129
645,29396259
609,29396313
588,29396488
596,29397472
641,29397525
620,29397700
621,29397952
592,29398136
592,29398738
581,29398864
617,29399218
596,29399392
588,29399402
563,29400193
580,29400279
613,29401096
559,29401459
612,29401490
608,29402756
609,29402986
588,29403183
622,29403222
579,29404212
605,29404252
584,29404449
575,29405478
593,29405793
555,29405904
611,29406444
632,29406893
625,29407005
603,29407078
593,29407187
607,29407710
571,29407978
628,29408159
621,29408271
607,29408334
589,29408453
601,29408698
577,29409559
603,29409600
597,29409964
617,29410771
591,29411141
630,29412240
623,29412352
587,29412407
601,29412425
595,29412789
626,29413506
619,29413618
605,29413681
597,29413691
599,29414045
601,29414947
585,29415232
595,29415311
604,29415796
615,29416118
636,29416129
646,29416259
610,29416313
589,29416488
642,29417525
621,29417700
622,29417952
593,29418136
568,29418303
593,29418738
582,29418864
597,29419392
564,29420193
581,29420279
603,29421361
627,29421956
610,29422986
589,29423183
580,29424212
606,29424252
585,29424449
576,29425478
594,29425793
556,29425904
607,29426029
612,29426444
626,29427005
604,29427078
619,29427667
608,29427710
572,29427978
629,29428159
622,29428271
608,29428334
590,29428453
602,29428698
578,29429559
604,29429600
598,29429964
618,29430771
592,29431141
631,29432240
624,29432352
588,29432407
602,29432425
596,29432789
586,29432898
627,29433506
620,29433618
606,29433681
598,29433691
600,29434045
602,29434947
615,29435047
586,29435232
596,29435311
616,29436118
611,29436313
590,29436488
598,29437472
643,29437525
622,29437700
623,29437952
594,29438136
594,29438738
583,29438864
619,29439218
598,29439392
565,29440193
582,29440279
615,29441096
561,29441459
578,29441545
597,29441840
628,29441956
610,29442756
611,29442986
624,29443222
608,29443507
581,29444212
607,29444252
586,29444449
577,29445478
595,29445793
557,29445904
613,29446444
627,29447005
605,29447078
609,29447710
573,29447978
630,29448159
623,29448271
609,29448334
601,29448344
591,29448453
603,29448698
616,29448933
579,29449559
605,29449600
599,29449964
619,29450771
593,29451141
646,29452177
632,29452240
625,29452352
589,29452407
603,29452425
597,29452789
572,29452956
628,29453506
621,29453618
607,29453681
599,29453691
601,29454045
603,29454947
616,29455047
587,29455232
597,29455311
617,29456118
612,29456313
591,29456488
599,29457472
644,29457525
623,29457700
587,29457754
624,29457952
595,29458136
595,29458738
626,29458854
584,29458864
620,29459218
599,29459392
566,29460193
