total_t,total_$,tw0,tw1,tw3,tw4
626,30660193,88,152,106,136
591,30492839,72,175,111,166
626,30192407,108,117,109,144
596,30184284,92,136,88,104
631,31083000,93,119,120,131
652,30308334,131,145,108,135
642,29956118,105,151,80,129
596,30225904,92,122,119,172
632,30231141,120,134,88,123
591,30041459,87,124,94,179
634,30985904,83,135,94,120
586,29154045,95,125,95,176
642,29837700,105,170,59,126
648,29912352,107,183,109,114
636,30069600,111,122,97,123
606,30214846,88,152,127,145
595,29572407,118,112,107,163
606,29469600,109,112,104,148
593,30848820,69,136,114,168
633,29567005,101,151,133,124
633,30332407,113,111,86,131
589,30452839,67,166,104,162
594,29229600,100,122,105,148
612,29674045,112,124,100,146
591,30808820,67,152,98,157
605,31088820,70,151,99,154
585,30163000,91,137,101,167
634,30667978,82,157,105,130
588,30914532,70,128,111,181
581,29054045,97,132,90,175
626,30825904,93,134,101,137
591,28936118,113,152,107,177
619,29814045,109,133,91,132
626,29869600,95,124,88,142
590,29858303,91,174,107,108
582,29074045,95,119,86,165
595,30205904,84,131,89,170
576,28472352,95,182,113,177
579,30734532,67,135,93,156
652,29992352,124,165,89,139
612,30912839,71,174,76,141
641,30169600,117,115,116,133
626,30983000,92,120,86,139
601,30007978,90,149,97,175
602,29073618,109,139,104,176
631,30525478,86,144,114,125
643,31000193,89,128,98,131
634,30271141,104,128,97,135
586,30874532,65,149,98,174
588,28876118,100,145,112,171
579,30043000,85,127,87,179
598,30632839,72,171,107,139
630,30115311,117,117,102,122
583,29251141,117,134,83,170
636,30265793,102,142,128,128
649,29932352,117,157,88,145
615,30078864,80,181,131,146
616,30625904,87,130,112,127
620,29397700,100,172,62,144
631,30398864,92,171,139,128
570,30072839,67,173,108,159
620,30944266,91,117,112,138
624,30620193,74,127,117,135
629,29613618,116,142,91,147
632,29862986,94,145,134,135
626,30907170,89,116,89,136
586,30183000,85,124,102,174
612,30380193,92,138,96,170
597,29612407,105,104,91,164
627,31003000,76,119,108,135
607,31128820,67,140,115,143
568,29184212,92,162,98,190
624,30785904,82,129,124,142
601,29580658,121,105,63,162
628,29467005,100,161,127,123
630,29822986,131,135,128,139
581,29925904,90,120,80,186
578,28512352,95,177,84,176
636,29627005,103,164,132,143
598,29475311,111,113,107,165
589,28777700,100,165,59,168
624,29702986,111,138,137,128
599,30443000,91,126,94,161
597,30403000,90,130,97,166
579,29801459,79,124,110,173
620,31554532,70,137,108,139
609,30320193,91,131,93,153
599,29495311,100,117,79,163
574,30152839,70,164,83,176
617,31494532,72,139,91,143
591,29492407,118,116,86,175
643,30128334,123,136,105,147
569,30691627,62,129,111,189
627,31212839,70,167,85,136
601,29324252,115,122,127,158
584,30067170,82,117,109,175
623,31448820,71,140,108,122
602,30584266,82,114,93,164
581,28969600,112,123,105,173
598,28993618,101,139,86,168
605,29615311,121,113,94,164
626,29413506,103,109,104,144
582,30394105,72,145,108,170
633,30754846,90,128,128,139
604,30385904,82,141,117,146
623,30765904,85,124,109,141
588,29981459,86,118,93,184
646,30188334,111,142,100,110
636,31025904,86,132,110,126
615,30972839,71,179,107,133
622,31112839,69,168,105,131
607,30603000,84,122,83,155
579,29171141,108,132,102,168
642,30062986,117,132,130,129
565,28252352,97,156,73,170
642,30664212,86,180,107,128
634,31143000,90,136,103,140
603,29575311,108,115,102,168
615,31454532,70,134,102,134
573,28728334,104,126,94,174
643,30294045,135,136,114,136
601,29408698,94,149,128,163
625,29533618,95,144,87,134
644,29787005,122,169,130,138
649,30414045,113,134,117,130
